country,Continent,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,EU,1560.0,1700.0,1880.0,2040.0,2210.0,2370.0,2560.0,2820.0,3010.0,3240.0,3670.0,4690.0,5780.0,6700.0,7120.0,7790.0,8810.0,10800.0,13100.0,13200.0,12100.0,10500.0,9850.0,9800.0,11400.0,14500.0,18500.0,19500.0,20700.0,21600.0,24000.0,23800.0,24600.0,25900.0,27300.0,27100.0,26000.0,25600.0,25100.0,23900.0,23200.0,26000.0,31500.0,36000.0,37900.0,40200.0,43500.0,43700.0,43800.0,44200.0,43000.0,43400.0,43000.0,40700.0,38800.0,38000.0
Gabon,AF,510.0,410.0,340.0,360.0,420.0,440.0,460.0,530.0,570.0,610.0,680.0,900.0,1690.0,2860.0,4430.0,3990.0,3070.0,3500.0,4580.0,5270.0,4820.0,4250.0,4290.0,3850.0,3830.0,3410.0,4140.0,4560.0,4810.0,5160.0,5110.0,4420.0,4130.0,3900.0,4100.0,4270.0,3940.0,3280.0,3090.0,3410.0,3580.0,3840.0,4270.0,5460.0,5680.0,6510.0,7220.0,7490.0,7750.0,8040.0,9040.0,9330.0,9360.0,8040.0,7170.0,6610.0
Gambia,AF,,,,,,,110.0,110.0,110.0,120.0,120.0,150.0,190.0,240.0,240.0,250.0,280.0,330.0,400.0,410.0,350.0,320.0,300.0,310.0,310.0,330.0,310.0,310.0,320.0,410.0,550.0,750.0,730.0,740.0,750.0,730.0,710.0,680.0,670.0,600.0,480.0,420.0,420.0,410.0,420.0,460.0,530.0,570.0,580.0,510.0,510.0,500.0,460.0,440.0,430.0,450.0
Georgia,AS / EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.0,1610.0,760.0,540.0,650.0,790.0,820.0,780.0,750.0,720.0,770.0,910.0,1120.0,1410.0,1790.0,2240.0,2670.0,2810.0,3000.0,3300.0,3870.0,4240.0,4490.0,4120.0,3830.0,3790.0
Germany,EU,,,,,,,,,,,3610.0,4680.0,5800.0,6730.0,7140.0,7680.0,8880.0,11100.0,13000.0,12600.0,11100.0,10000.0,9890.0,9850.0,11300.0,14300.0,18700.0,19800.0,21300.0,22900.0,25900.0,26000.0,27500.0,29600.0,30900.0,30200.0,28000.0,26900.0,26200.0,24800.0,23700.0,26200.0,31700.0,35900.0,38400.0,40700.0,43900.0,43800.0,44800.0,47400.0,46700.0,47400.0,47700.0,45800.0,44000.0,43500.0
Ghana,AF,190.0,200.0,210.0,230.0,250.0,250.0,230.0,230.0,250.0,270.0,260.0,280.0,320.0,310.0,290.0,310.0,360.0,390.0,430.0,420.0,360.0,320.0,340.0,350.0,400.0,420.0,440.0,410.0,400.0,420.0,440.0,420.0,380.0,380.0,380.0,400.0,390.0,400.0,340.0,300.0,280.0,320.0,390.0,470.0,600.0,800.0,1160.0,1200.0,1250.0,1400.0,1560.0,1730.0,1590.0,1490.0,1390.0,1490.0
Greece,EU,630.0,710.0,790.0,890.0,980.0,1070.0,1180.0,1330.0,1500.0,1700.0,2000.0,2490.0,2850.0,3480.0,3750.0,3940.0,4600.0,5650.0,6500.0,6370.0,5910.0,5280.0,5140.0,5010.0,5360.0,6130.0,7590.0,8310.0,8970.0,9850.0,11200.0,11100.0,11600.0,12400.0,13400.0,14100.0,13800.0,13400.0,13300.0,13100.0,13200.0,15700.0,19600.0,22800.0,24600.0,26400.0,28700.0,29300.0,27700.0,24900.0,23500.0,22500.0,22200.0,20400.0,18900.0,18100.0
Guatemala,A,250.0,270.0,280.0,280.0,290.0,290.0,310.0,320.0,340.0,350.0,380.0,430.0,510.0,580.0,650.0,750.0,870.0,1020.0,1140.0,1180.0,1110.0,1060.0,1080.0,1110.0,1030.0,980.0,950.0,950.0,920.0,950.0,1010.0,1120.0,1210.0,1340.0,1430.0,1520.0,1600.0,1640.0,1660.0,1600.0,1620.0,1690.0,1860.0,2010.0,2160.0,2370.0,2570.0,2610.0,2700.0,2850.0,3090.0,3310.0,3450.0,3610.0,3790.0,4060.0
Guinea,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,420.0,430.0,430.0,460.0,470.0,460.0,470.0,470.0,470.0,430.0,420.0,380.0,340.0,330.0,320.0,350.0,340.0,350.0,410.0,550.0,580.0,620.0,600.0,630.0,640.0,680.0,690.0,720.0,800.0
Haiti,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,450.0,470.0,440.0,410.0,370.0,370.0,400.0,470.0,550.0,610.0,680.0,650.0,700.0,750.0,800.0,820.0,810.0,790.0,760.0
Honduras,A,180.0,180.0,190.0,210.0,220.0,230.0,250.0,250.0,260.0,270.0,280.0,320.0,360.0,380.0,410.0,460.0,540.0,620.0,680.0,730.0,690.0,680.0,720.0,770.0,820.0,920.0,950.0,860.0,690.0,610.0,600.0,640.0,620.0,630.0,650.0,700.0,720.0,760.0,880.0,980.0,1070.0,1130.0,1210.0,1290.0,1370.0,1500.0,1630.0,1650.0,1760.0,1900.0,2000.0,2040.0,2040.0,2090.0,2160.0,2250.0
Hungary,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700.0,4070.0,4300.0,4410.0,4460.0,4470.0,4540.0,4660.0,4820.0,5310.0,6680.0,8700.0,10400.0,11300.0,11800.0,13200.0,13300.0,13100.0,13100.0,12900.0,13400.0,13500.0,13000.0,12500.0,12900.0
India,AS,90.0,90.0,110.0,110.0,100.0,100.0,100.0,110.0,110.0,120.0,120.0,140.0,170.0,190.0,180.0,180.0,200.0,220.0,270.0,290.0,280.0,280.0,280.0,290.0,310.0,350.0,390.0,390.0,380.0,340.0,340.0,320.0,340.0,360.0,400.0,410.0,410.0,430.0,440.0,450.0,450.0,510.0,600.0,700.0,790.0,920.0,1000.0,1110.0,1220.0,1380.0,1480.0,1520.0,1560.0,1600.0,1680.0,1820.0
Indonesia,AS,,,,,,,,70.0,80.0,80.0,90.0,110.0,160.0,220.0,270.0,300.0,360.0,400.0,470.0,530.0,560.0,530.0,520.0,500.0,510.0,510.0,510.0,530.0,560.0,610.0,660.0,740.0,850.0,990.0,1090.0,1100.0,660.0,570.0,580.0,720.0,790.0,900.0,1080.0,1220.0,1370.0,1600.0,1940.0,2140.0,2520.0,3000.0,3570.0,3730.0,3620.0,3430.0,3410.0,3540.0
Iran,AS,210.0,220.0,230.0,260.0,280.0,300.0,330.0,380.0,400.0,460.0,560.0,750.0,1090.0,1460.0,1990.0,2080.0,1980.0,2310.0,2100.0,2400.0,3190.0,3300.0,3110.0,3490.0,3690.0,3570.0,3030.0,2590.0,2560.0,,,,,1330.0,1600.0,1800.0,1800.0,1710.0,1740.0,1770.0,1860.0,2180.0,2490.0,2930.0,3450.0,4230.0,4900.0,5460.0,6140.0,6790.0,7050.0,6950.0,6470.0,5340.0,5470.0,5400.0
